category;feature_name;display_name
temas;stealing_empath;robatoris
temas;politics_empath;política
temas;crime_empath;crim
temas;law_empath;lleis
temas;government_empath;govern
temas;prison_empath;presó
temas;dispute_empath;disputa
temas;leader_empath;líder
temas;white_collar_job_empath;treball de coll blanc
temas;terrorism_empath;terrorisme
temas;dominant_heirarchical_empath;dominant jeràrquic
temas;war_empath;guerra
temas;occupation_empath;ocupació
temas;kill_empath;assessinat
temas;aggression_empath;agresió
temas;office_empath;oficina
temas;journalism_empath;periodisme
temas;fight_empath;lluita
temas;weapon_empath;armes
temas;deception_empath;decepció
emociones;joy_emolex;alegría*
emociones;trust_emolex;confiança*
emociones;fear_emolex;por*
emociones;surprise_emolex;sorpresa*
emociones;sadness_emolex;tristesa
emociones;disgust_emolex;fàstic
emociones;anger_emolex;ira*
emociones;anticipation_emolex;anticipació*
sentimientos_hate_speech;positive_sentiment;positiva*
sentimientos_hate_speech;negative_sentiment;negativa*
sentimientos_hate_speech;neutral_sentiment;neutral*
sentimientos_hate_speech;hate_hate_sp;discurs d'odi
factores_linguisticos;preps_liwc;preposicions
factores_linguisticos;i_liwc;primera persona del singular
factores_linguisticos;shehe_liwc;tercera persona del singular
factores_linguisticos;article_liwc;articles
factores_linguisticos;ppron_liwc;pronoms personals
factores_linguisticos;you_liwc;segona persona del singular
genero;gender_demo_female;dona
genero;gender_demo_male;home
genero;gender_demo_organization;organizació
edad;age_demo_19-29;19-29 anys
edad;age_demo_30-39;30-39 anys
edad;age_demo_<=18;menor de 19 anys*
edad;age_demo_>=40;major de 39 anys*
verificado;is_verified;compte verificat
interacciones;followers_count;seguidors*
interacciones;friends_count;seguits*
interacciones;listed_count;llistes en les que apareix*
interacciones;favorites_count;quantitat de tweets favorits
interacciones;retweets_count_social;mitjana de retweets rebuts*
interacciones;favs_count_social;"mitjana de ""favorits"" rebuts*"
interacciones;mentions_count_social;mitjana de mencions realitzades*
comportamiento;week_days_count_ratio_behav;proporció de tweets publicats en días laborables (Dill-Div)
comportamiento;weekend_days_count_ratio_behav;proporció de tweets publicats en cap de setmana (Diss i Diu)
comportamiento;tweets_sleep_time_ratio_behav;proporció de tweets publicats a la nit
comportamiento;tweets_awake_time_ratio_behav;proporció de tweets publicats durant el día
otros;median_time_betweet_tweets_behav;temps mitjà entre publicacions
otros;ratio_quoted_tweet_types;proporció mitjana de tweets que son cites
otros;ratio_retweets_tweet_types;proporció mitjana de tweets que son retweets*
otros;ratio_replies_tweet_types;proporció mitjana de tweets que son respostes*
otros;ratio_original_tweet_types;proporció mitjana de tweets que son originals*
